parameter_value,value_low,value_high,run
0.5,0.5999915762107279,0.21316867174669227,2
0.5,0.234580606299007,0.4567998771811557,2
0.5,0.5999995906033888,0.2514179816814237,2
0.5,0.07205514818066704,0.4999990562033521,2
0.5,0.5999999999036522,0.21603196378532208,2
0.5,0.5984120818299121,0.2717011458018509,2
0.5,0.4559999998844985,0.33651949780344836,2
0.5,0.4397898821584653,0.4992743933227605,2
0.5,0.5994775248587725,0.24323140302521193,2
0.5,0.5995533223220036,0.3027453226876873,2
0.5,0.5999999972059804,0.2682822493600806,2
0.5,0.5999756183566809,0.13000599687473866,2
0.5,0.5999847452757502,0.08111444892314068,2
0.5,0.5970298235328382,0.24988353288422602,2
0.5,0.5999999999584203,0.2810387379386754,2
0.5,0.5986949134420159,0.011981216585216054,2
0.5,0.5958403898490444,0.008614716425372294,2
0.5,0.5998107887946308,0.18137773212936464,2
0.5,0.357580647984169,0.4811496710938238,3
0.5,0.5263391883912547,0.30799999999999994,3
0.5,0.5999756246478245,0.2899437459205221,3
0.5,0.5999979375268713,0.43999154486410424,3
0.5,0.02174147504950384,0.49999999999999023,3
0.5,0.5999999999377196,0.3232385576223232,3
0.5,0.013788282427525242,0.49999920907971257,3
0.5,0.5999999999999962,0.09715099298607735,3
0.5,0.5999998376444821,0.13344734997399735,3
0.5,0.49003553290461954,0.4999999964151272,3
0.5,0.5999999998074975,0.4769819693765436,3
0.5,0.1955350480634477,0.49999999426976355,3
0.5,0.24933464268434075,0.49999842053955385,3
0.5,0.5999999999999511,0.24495460385311812,3
0.5,0.14615240576635247,0.4999924553809696,3
0.5,0.5135999999999962,0.33366853285773046,3
0.5,0.5999999997792896,0.23808537087023376,3
0.5,0.5715883265277139,0.1291968,3
0.5,0.14855397024442732,0.4999999999997905,3
0.5,0.5990615776514745,0.10540202124470889,3
0.5,0.5999999999999824,0.13073124069038092,3
0.5,0.22175999997973903,0.48379992731437416,3
0.5,0.4637929745320215,0.1778059019886181,3
0.5,0.015280505788370079,0.499999998402523,3
0.5,0.03268158715490477,0.49999720605215986,3
0.5,0.05995533706172232,0.4999999999999941,3
0.5,0.009580521707068405,0.4999999999994018,3
0.5,0.5999999998845,0.15449330413479417,3
0.5,0.006597760727891262,0.49999975926806806,3
0.5,0.0073636485637798305,0.49999540791179764,3
0.5,0.5999999941656459,0.2683326628441187,3
0.5,0.5999999597931094,0.3889276443859585,3
0.5,0.599999999999373,0.01552477716059123,3
0.5,0.45481777755521813,0.49999999999999967,3
0.5,0.4041626557799173,0.17999999999964966,3
0.5,0.15072151694898467,0.49999999999999994,3
0.5,0.03176280831712933,0.49999999886638524,3
0.5,0.4624368171513361,0.4945003493903089,3
0.5,0.5999688622235659,0.27858814343497607,3
0.5,0.5994775722393598,0.32293243703501684,3
0.5,0.5999999999999186,0.18303572370922716,3
0.5,0.04789138515043827,0.4937885624924335,3
0.5,0.3599999469394401,0.3082399336728854,3
0.5,0.5999853753662396,0.16785391010233314,3
0.5,0.06356201209881526,0.49999999973103393,3
0.5,0.04665599999828063,0.49760076406999226,3
0.5,0.21599999999940406,0.41914019080570586,3
0.5,0.282317758843536,0.49999999999999994,3
0.5,0.5999999999999999,0.370386989426446,3
0.5,0.599999605918945,0.047774257791106306,3
0.5,0.5999999894861593,0.1391242445449799,3
0.5,0.24047769433566246,0.4974639266681402,3
0.5,0.2515866084930968,0.4999999263086934,3
0.5,0.5999999999999511,0.23705268179953431,3
0.5,0.5999991064755501,0.28924270261229545,3
0.5,0.35999642965387463,0.43989305551485625,3
0.5,0.2159999999997741,0.49936842973596346,3
0.5,0.5688215280452774,0.1847872349668383,3
0.5,0.21599986604637483,0.4671909032914321,3
