sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate,delta
19,0.2881963095612591,0.7849985456029361,0.49680223604167706,0.3615377191895174,0.5376576529462347,0.09782239766028444,0.7853239558721095,0.5,0.4990519521101091,0.006753772081126819,0.9458115437886523
20,0.19291519488422948,0.6859397643641577,0.49302456947992823,1.14132817075483,0.6554225855557607,0.9106845690724835,0.7881461649612318,0.5,0.3518827998075097,0.17380898198029437,0.06285029833331557
21,0.45841703237920284,0.8063872962981607,0.34797026391895786,0.1482111655718957,0.6645483335148142,0.03190525603462713,0.8095389000301286,0.5,0.40117890979632553,0.28295953168078536,0.8431300031796803
22,0.5310528700499374,0.9621404828818367,0.4310876128318992,0.1745278235739101,0.8947055744396657,0.7231912274435535,0.9816353538400953,0.5,0.12507373165349503,0.12388012218290323,0.12208044152906072
23,0.13436084606039006,0.6115206236450086,0.4771597775846185,1.6558613970214187,0.5311501483237562,0.9131380419328305,0.7956168175678973,0.5,0.5399524449627029,0.3229556341470833,0.191315705661408
24,0.262354103434857,0.6539408077583009,0.3915867043234439,0.7234073984077185,0.4968664343329384,0.31440532074782923,0.7575761646170452,0.5,0.3945101744367021,0.6340383820561487,0.9663444843354702
25,0.2141600283698839,0.7120506193986686,0.4978905910287848,89.4285,0.014879684354945466,0.7331599843419532,0.908215713849635,0.5,0.1604682768404708,0.8579403861447054,0.7024108748899226
26,0.12237503596512622,0.6175872852535229,0.49521224928839674,1.9058628506642747,0.5686140286219992,0.9810992114290196,0.7725881752920942,0.5,0.3443168508929457,0.28049914197264403,0.8853302668097649
27,0.5061051257824392,0.8792231949931137,0.37311806921067453,0.21137203915744673,0.807728176625732,0.43944916614681173,0.9104120303091868,0.5,0.10421836205483662,0.22165834748649982,0.2168927834900205
28,0.4816458567634738,0.9815795209878679,0.499933664224394,6.889358345136091,0.22026902777150836,0.741137213731608,0.9853885023594424,0.5,0.47363665421224466,0.0020710767360736515,0.8093563205857559
29,0.5888016206902533,0.7663268514313908,0.1775252307411373,0.058022966943924656,0.806808892199511,0.05453266664014589,0.7747340706949186,0.5,0.48145527626133156,0.7309312365146728,0.68247104416692
30,0.3176188438168287,0.7330397182963905,0.4154208744795618,0.3797836998212672,0.7625913088397134,0.5994125259668276,0.8088693432313849,0.5,0.5558379191542434,0.4140805996096143,0.7234640804720515
31,0.04675606321967159,0.5300678197902493,0.4833117565705778,5.160146697398935,0.2659508736226315,0.980369577480765,0.7945225006086278,0.5,0.34705790421863425,0.37052911735880145,0.6555742562392315
32,0.4647360875968848,0.964734431273633,0.4999983436767482,99.9915,4.612858772956585e-05,0.14301472521420855,0.9647439699822359,0.5,0.2660166531119693,0.024816198996279404,0.042202916656521317
33,0.15610837405835087,0.6479759087889412,0.49186753473059036,4.119806284007408,0.38958251293515056,0.9430113130768059,0.979653017412264,0.5,0.2861104796067082,0.26674974301420684,0.1418739544039841
34,0.4397082686287225,0.8291762319386271,0.3894679633099047,0.6484500818755107,0.5915185219817075,0.46307961444510737,0.958832581963529,0.5,0.10885726164915352,0.4378947085850906,0.1340384128921932
35,0.2485389520041827,0.7096826762694313,0.4611437242652485,2.083597114650942,0.33240096973759226,0.501302700176149,0.8858421777877634,0.5,0.5820978728201622,0.3749016269856693,0.7553478000631786
36,0.15555037658114995,0.6270618159370573,0.4715114393559074,1.704936875720825,0.5284797390305905,0.8646314617295584,0.8902122492083312,0.5,0.3499809444693661,0.5297378685908173,0.9856219600534821
37,0.3074598330066515,0.7870131791344093,0.4795533461277578,8.643564174688402,0.06128137476085671,0.04484689538155817,0.7985811978398032,0.5,0.1529055876245605,0.39443773431221696,0.20483087058181149
38,0.28487779017742887,0.7778574283183737,0.49297963814094475,2.277552436760468,0.4819653689488381,0.8454001447491943,0.9096170544220606,0.5,0.5152739282539773,0.12693949286635864,0.04426718163463439
39,0.35277092077900957,0.7770090932628942,0.42423817248388473,1.1801156815028253,0.4481971236177942,0.46655555555589956,0.9900668716640647,0.5,0.3220553763483126,0.5590083792901106,0.849988824903643
40,0.24110559340219076,0.740762695175742,0.49965710177355127,42.28587265512265,0.1253289326120659,0.9285013782441608,0.8949272591775352,0.5,0.3216968680311292,0.04989104670078359,0.2750260949420541
41,0.27396715039533914,0.7634246123723365,0.48945746197699735,1.3628221446294817,0.6199291860598937,0.9190121773612433,0.9801706168248948,0.5,0.36807316469124995,0.30592414838381254,0.3678516973255723
42,0.20287661728505008,0.6652913218251999,0.46241470454014977,1.6736503364695658,0.3510971544340512,0.4328077318550706,0.7508155224639648,0.5,0.2569794967191348,0.2636495988780184,0.5724130346219248
43,0.17972640404231405,0.6320141499831816,0.45228774594086757,1.493382800974302,0.49101865736349193,0.7196888602963812,0.8659466026958981,0.5,0.49416633567969026,0.541047256271901,0.9462853065779718
44,0.3301572126516775,0.7568835645463701,0.4267263518946926,0.47348171119930066,0.646386005144967,0.421404108168703,0.8065830675159971,0.5,0.2773760945198641,0.24564884197568038,0.46786229803337753
45,0.4572767492637902,0.9454499249307812,0.48817317566699103,0.06763864696766768,0.7764752689584563,0.03867473626763773,0.9455100654536419,0.5,0.3944230167941407,0.004409174881102262,0.8331491219577476
46,0.5945770042169014,0.9616821718489195,0.3671051676320181,0.18352260730221268,0.717539473189256,0.17843253251494096,0.9797233559772495,0.5,0.4061902925439357,0.21624120780035294,0.49856376817696246
