alpha,step,delta_v
0.6,61,0.5865194803580963
0.6,62,0.5861502051926543
0.6,63,0.5856596657043542
0.6,64,0.5857082583646971
0.6,65,0.5858143819759408
0.6,66,0.584926163282709
0.6,67,0.585432945028591
0.6,68,0.5869021488397861
0.6,69,0.5880850466033984
0.6,70,0.5878185424475475
0.6,71,0.5879849094296155
0.6,72,0.5867646535261903
0.6,73,0.5864171537176422
0.6,74,0.5858694800741897
0.6,75,0.5864784493356013
0.6,76,0.5860904265230557
0.6,77,0.5861510861882978
0.6,78,0.5853411509849594
0.6,79,0.584767894173439
0.6,80,0.5847637111019287
0.6,81,0.5851297305696775
0.6,82,0.5845053668790381
0.6,83,0.5847015459679721
0.6,84,0.584068546122737
0.6,85,0.5848218912982144
0.6,86,0.5848549078079555
0.6,87,0.5847898008254595
0.6,88,0.583907702999167
0.6,89,0.5836831690735307
0.6,90,0.584398070687112
0.6,91,0.5843264457038526
0.6,92,0.584167831261289
0.6,93,0.5854851423632662
0.6,94,0.5862574250882092
0.6,95,0.5861765359946598
0.6,96,0.585638025449724
0.6,97,0.5846000953575483
0.6,98,0.5842874830685629
0.6,99,0.5836349607748804
0.6,100,0.5837974860494236
0.6,101,0.5847399246611968
0.6,102,0.5838123587273408
0.6,103,0.5840686891664307
0.6,104,0.5846764235265357
0.6,105,0.5843910019706315
0.6,106,0.583376406046514
0.6,107,0.5839389537400489
0.6,108,0.5825816659797115
0.6,109,0.5818341928660385
0.6,110,0.5825559360408272
0.6,111,0.5830437715058392
0.6,112,0.5843440052637955
0.6,113,0.5841622377402347
0.6,114,0.5836254604870146
0.6,115,0.5839732578989559
0.6,116,0.5838469133459591
0.6,117,0.5844012238791327
0.6,118,0.5844245400574016
0.6,119,0.5848956178588135
0.6,120,0.584526774337696
0.6,121,0.5840530775756975
0.6,122,0.5838221375353306
0.6,123,0.5841423693462148
0.6,124,0.5841155270431859
0.6,125,0.5823754600428762
0.6,126,0.5844493652490751
0.6,127,0.5846760098436934
0.6,128,0.5843177556823289
0.6,129,0.5832083674451729
0.6,130,0.5828164212723003
0.6,131,0.5823574719320266
0.6,132,0.5827663256370628
0.6,133,0.5837071028575427
0.6,134,0.5823064120335791
0.6,135,0.5830993263371932
0.6,136,0.5834753158669014
0.6,137,0.5844735240358423
0.6,138,0.5834213401824598
0.6,139,0.5852164185876574
0.6,140,0.5859102219297765
0.6,141,0.5863156042760241
0.6,142,0.5841343938847054
0.6,143,0.585214796653311
0.6,144,0.5846133207546714
0.6,145,0.5843374727278764
0.6,146,0.584378506879927
0.6,147,0.583925513123956
0.6,148,0.5852086558403137
0.6,149,0.5851174717024532
0.6,150,0.5856785478697479
0.6,151,0.5870148608617647
0.6,152,0.5844680605446786
0.6,153,0.5847870280749552
0.6,154,0.5843599421020685
0.6,155,0.5840385683997702
0.6,156,0.5831056064796301
0.6,157,0.5843242085844583
0.6,158,0.5838460500072248
0.6,159,0.5844244375994198
0.6,160,0.5829974628302153
0.6,161,0.5834364482702471
0.6,162,0.5832273414036654
0.6,163,0.5820698714187982
0.6,164,0.5817803501665378
0.6,165,0.5824985767884837
0.6,166,0.5832694207488064
0.6,167,0.5832840171807109
0.6,168,0.5828373776279029
0.6,169,0.5833390828531554
0.6,170,0.5839140765771392
0.6,171,0.5833124761587296
0.6,172,0.5836229008946769
0.6,173,0.5832814056261643
0.6,174,0.5847903908369649
0.6,175,0.5856571870964863
0.6,176,0.5858654113714205
0.6,177,0.5850404110389175
0.6,178,0.5853040042874659
0.6,179,0.5844447732180218
0.6,180,0.5838574333537004
0.6,181,0.5841091171239505
0.6,182,0.585018902516729
0.6,183,0.5846027268470106
0.6,184,0.5846928636141309
0.6,185,0.5842059905504158
0.6,186,0.5843777195788123
