sample_id,delta_v,Value_High,Value_Low,LH_Ratio,theta_post,epsilon,p_high,p_low,learning_rate,extinction_rate
142,0.1299061020631966,0.6210518292197469,0.49114572715655036,3.4500308290775243,0.3032829092043129,0.7068461969895469,0.709127964385881,0.5,0.5126309313294982,0.11019296038691129
143,0.4349742593137229,0.5746753663884456,0.13970110707472266,0.010036602410822432,0.9921831904022878,0.6329921349640666,0.5790671206565148,0.5,0.36222082138708434,0.749393449928149
144,0.31148477211632014,0.6718193779229436,0.36033460580662335,0.11373235850960754,0.9095738321364213,0.5661241889053344,0.7044135972687631,0.5,0.2769386949693089,0.5061934596438411
145,0.11189087037669151,0.5079475306659003,0.3960566602892087,2.4973592652963736,0.2876614304674562,0.2687899536391066,0.6978145605574357,0.5,0.38469769571230183,0.6821999950049392
146,0.7209419448584592,0.8873824605823332,0.166440515723874,0.08506600594381655,0.7472481822834253,0.028109778094494775,0.8919582902713723,0.5,0.6092726405692658,0.3950683444940156
147,0.7545175959149708,0.8738518211326181,0.11933422521764714,0.04774744155589469,0.8803407859217295,0.11696056590932791,0.895732880842119,0.5,0.8349288790166123,0.7469809318483712
148,0.06462952537631929,0.5554903756118634,0.49086085023554415,48.703095233541276,0.11188863179689312,0.024989982742711803,0.8715270112477274,0.5,0.5370977842178069,0.12741276630861043
149,0.05864403521149501,0.48736285294274423,0.4287188177312492,4.494798553468176,0.19050678944288846,0.5202790404624407,0.846982243958762,0.5,0.6209647735874974,0.8812758112383277
150,0.7337224048062094,0.855698530575298,0.12197612576908853,0.06785844038712421,0.8188083167152246,0.07194382394819265,0.8745787297243773,0.5,0.8878696842523512,0.6621502496578986
151,0.2266598885073318,0.5842995779284232,0.3576396894210915,0.831717701005515,0.5562193496219398,0.5267338487635924,0.7967163254252547,0.5,0.7027249862877067,0.764894942385031
152,0.042720721365779216,0.4731380127606709,0.4304172913948917,2.7675223353944296,0.2702923548496302,0.3110323584933856,0.6605893024189666,0.5,0.6325157589021009,0.5408416648010202
153,0.5670437397946839,0.6468851157436436,0.07984137594895975,0.05642761557133793,0.8106289662528028,0.046123053766862765,0.6562574825503367,0.5,0.1454216259334743,0.8998180888636115
154,0.29610673075841815,0.6622279798676546,0.36612124910923644,0.3627225375340377,0.7061202178518309,0.39806548225967486,0.7317073727952027,0.5,0.813781830229861,0.40832364291043055
155,-0.10703822492760821,0.3636431778857594,0.47068140281336757,10.718873418248418,0.07409524008053758,0.8921742036179466,0.5232562724877735,0.5,0.8483880711004617,0.7517175477637124
156,0.27353855046159914,0.7599094181878094,0.48637086772621024,2.4994269613250726,0.28308738250434495,0.0064577476454704685,0.7638292645242459,0.5,0.3712260403607127,0.03626221638170413
